Reference,month,year,gr,Season,TBEP_seg,sgyear,FLUCCSCODE,areas,bottom,DominantVeg,bveg,Shore,bay_TBEPseg_season,bay_TBEPseg_sgyr,bay_TBEPseg_sgyr_season,BvegCovBin
TBM2001121201,12,2001,20,Winter,LTB,2004,NA,10,San,SAV,SAV,23.5,LTB_Winter,LTB_2004,LTB_2004        _Winter,76-100
TBM2001121203,12,2001,20,Winter,LTB,2004,NA,8,San,None,Non,23.95,LTB_Winter,LTB_2004,LTB_2004        _Winter,0-25
TBM2002010102,1,2002,20,Winter,MTB,2004,9113,7,San,SAV,SAV,14.15,MTB_Winter,MTB_2004,MTB_2004        _Winter,26-50
TBM2002010106,1,2002,20,Winter,MTB,2004,9113,7,Mud,None,Non,14.8,MTB_Winter,MTB_2004,MTB_2004        _Winter,0-25
TBM2002010204,1,2002,20,Winter,HB,2004,9113,29,San,Halodule spp.,SAV,15.85,HB_Winter,HB_2004,HB_2004         _Winter,0-25
TBM2002010401,1,2002,20,Winter,OTB,2004,NA,23,Mud,Halodule spp.,SAV,9.55,OTB_Winter,OTB_2004,OTB_2004        _Winter,76-100
TBM2002010404,1,2002,20,Winter,OTB,2004,NA,25,San,None,Non,13.45,OTB_Winter,OTB_2004,OTB_2004        _Winter,0-25
TBM2002010901,1,2002,20,Winter,OTB,2004,9116,20,San,Halodule spp.,SAV,13.6,OTB_Winter,OTB_2004,OTB_2004        _Winter,76-100
TBM2002010902,1,2002,20,Winter,OTB,2004,9116,25,San,None,Non,13.7,OTB_Winter,OTB_2004,OTB_2004        _Winter,0-25
TBM2002010904,1,2002,20,Winter,OTB,2004,9116,26,MudSan,Thalassia spp.,SAV,14.8,OTB_Winter,OTB_2004,OTB_2004        _Winter,76-100
TBM2002011002,1,2002,20,Winter,MTB,2004,NA,18,San,None,Non,15.6,MTB_Winter,MTB_2004,MTB_2004        _Winter,0-25
TBM2002011004,1,2002,20,Winter,MTB,2004,9116,17,MudSan,SAV,SAV,15.5,MTB_Winter,MTB_2004,MTB_2004        _Winter,76-100
TBM2002011103,1,2002,20,Winter,HB,2004,NA,2,MudSan,None,Non,17.1,HB_Winter,HB_2004,HB_2004         _Winter,0-25
TBM2002011105,1,2002,20,Winter,HB,2004,NA,4,San,None,Non,16.6,HB_Winter,HB_2004,HB_2004         _Winter,0-25
TBM2002020203,2,2002,20,Winter,OTB,2004,NA,21,San,None,Non,23.9,OTB_Winter,OTB_2004,OTB_2004        _Winter,0-25
TBM2002020207,2,2002,20,Winter,OTB,2004,NA,24,San,None,Non,26.9,OTB_Winter,OTB_2004,OTB_2004        _Winter,0-25
TBM2002020208,2,2002,20,Winter,OTB,2004,9113,24,San,None,Non,25.45,OTB_Winter,OTB_2004,OTB_2004        _Winter,0-25
TBM2002020401,2,2002,20,Winter,MTB,2004,NA,18,San,None,Non,18.2,MTB_Winter,MTB_2004,MTB_2004        _Winter,0-25
TBM2002020403,2,2002,20,Winter,MTB,2004,NA,18,San,Syringodium spp.,SAV,17.1,MTB_Winter,MTB_2004,MTB_2004        _Winter,26-50
TBM2002020404,2,2002,20,Winter,MTB,2004,NA,19,San,None,Non,16.9,MTB_Winter,MTB_2004,MTB_2004        _Winter,0-25
TBM2002020407,2,2002,20,Winter,OTB,2004,9113,25,San,Syringodium spp.,SAV,16.95,OTB_Winter,OTB_2004,OTB_2004        _Winter,51-75
TBM2002020604,2,2002,20,Winter,MTB,2004,NA,7,San,None,Non,17.7,MTB_Winter,MTB_2004,MTB_2004        _Winter,0-25
TBM2002021004,2,2002,20,Winter,MTB,2004,NA,7,San,None,Non,16.7,MTB_Winter,MTB_2004,MTB_2004        _Winter,0-25
TBM2002021006,2,2002,20,Winter,MTB,2004,9113,7,MudSan,None,Non,20.1,MTB_Winter,MTB_2004,MTB_2004        _Winter,0-25
TBM2002021102,2,2002,20,Winter,HB,2004,NA,29,San,None,Non,17.55,HB_Winter,HB_2004,HB_2004         _Winter,0-25
TBM2002021104,2,2002,20,Winter,OTB,2004,9113,27,MudSan,Halodule spp.,SAVAlg,18.3,OTB_Winter,OTB_2004,OTB_2004        _Winter,76-100
TBM2002021105,2,2002,20,Winter,MTB,2004,9113,27,MudSan,None,Non,18.7,MTB_Winter,MTB_2004,MTB_2004        _Winter,0-25
TBM2002021106,2,2002,20,Winter,MTB,2004,9116,27,MudSan,Halodule spp.,SAV,19.25,MTB_Winter,MTB_2004,MTB_2004        _Winter,76-100
TBM2002030101,3,2002,20,Winter,OTB,2004,9113,24,San,Halodule spp.,SAV,12.1,OTB_Winter,OTB_2004,OTB_2004        _Winter,26-50
TBM2002030103,3,2002,20,Winter,OTB,2004,NA,23,San,Halophila spp.,SAV,12.45,OTB_Winter,OTB_2004,OTB_2004        _Winter,26-50
TBM2002030105,3,2002,20,Winter,OTB,2004,NA,23,MudSan,Caulerpa spp.,SAV,13.45,OTB_Winter,OTB_2004,OTB_2004        _Winter,0-25
TBM2002030207,3,2002,20,Winter,LTB,2004,9116,8,San,None,Non,15.5,LTB_Winter,LTB_2004,LTB_2004        _Winter,0-25
TBM2002030208,3,2002,20,Winter,LTB,2004,9113,8,San,Thalassia spp.,SAV,15.7,LTB_Winter,LTB_2004,LTB_2004        _Winter,76-100
TBM2002030503,3,2002,20,Winter,LTB,2004,9116,12,San,SAV,SAV,20.9,LTB_Winter,LTB_2004,LTB_2004        _Winter,76-100
TBM2002030701,3,2002,20,Winter,HB,2004,NA,2,San,None,Non,16.6,HB_Winter,HB_2004,HB_2004         _Winter,0-25
TBM2002030702,3,2002,20,Winter,HB,2004,NA,3,San,None,Non,14.2,HB_Winter,HB_2004,HB_2004         _Winter,0-25
TBM2002030901,3,2002,20,Winter,MTB,2004,NA,27,San,None,Non,16.1,MTB_Winter,MTB_2004,MTB_2004        _Winter,0-25
TBM2002030902,3,2002,20,Winter,OTB,2004,9113,27,San,None,Non,16.1,OTB_Winter,OTB_2004,OTB_2004        _Winter,0-25
TBM2002030906,3,2002,20,Winter,OTB,2004,9113,25,San,None,Non,16.4,OTB_Winter,OTB_2004,OTB_2004        _Winter,0-25
TBM2002031201,3,2002,20,Winter,MTB,2004,9116,7,San,Syringodium spp.,SAV,19.7,MTB_Winter,MTB_2004,MTB_2004        _Winter,76-100
TBM2002031203,3,2002,20,Winter,MTB,2004,NA,6,MudSan,None,Non,22.7,MTB_Winter,MTB_2004,MTB_2004        _Winter,0-25
TBM2002031204,3,2002,20,Winter,MTB,2004,NA,6,San,Halodule spp.,SAV,21.95,MTB_Winter,MTB_2004,MTB_2004        _Winter,51-75
TBM2002031302,3,2002,20,Winter,MTB,2004,9116,18,MudSan,Syringodium spp.,SAV,22.86666666,MTB_Winter,MTB_2004,MTB_2004        _Winter,76-100
TBM2002031305,3,2002,20,Winter,MTB,2004,9116,17,San,SAV,SAV,24.5,MTB_Winter,MTB_2004,MTB_2004        _Winter,76-100
TBM2002034610,3,2002,20,Winter,HB,2004,NA,1,Mud,None,Non,25.6,HB_Winter,HB_2004,HB_2004         _Winter,0-25
TBM2002040104,4,2002,20,Spring,MTB,2004,NA,7,MudSan,None,Non,25.7,MTB_Spring,MTB_2004,MTB_2004        _Spring,Unk
TBM2002040605,4,2002,20,Spring,LTB,2004,9116,8,SanStr,Thalassia spp.,SAVAlg,25.7,LTB_Spring,LTB_2004,LTB_2004        _Spring,76-100
TBM2002040606,4,2002,20,Spring,LTB,2004,9113,10,San,Thalassia spp.,SAV,25.45,LTB_Spring,LTB_2004,LTB_2004        _Spring,76-100
TBM2002040703,4,2002,20,Spring,OTB,2004,NA,24,MudSan,Halodule spp.,SAV,24.25,OTB_Spring,OTB_2004,OTB_2004        _Spring,26-50
TBM2002040808,4,2002,20,Spring,MTB,2004,9113,17,San,None,Non,24.1,MTB_Spring,MTB_2004,MTB_2004        _Spring,0-25
TBM2002040901,4,2002,20,Spring,HB,2004,NA,4,San,None,Non,21.8,HB_Spring,HB_2004,HB_2004         _Spring,0-25
TBM2002040905,4,2002,20,Spring,HB,2004,NA,1,MudSan,None,Non,24.3,HB_Spring,HB_2004,HB_2004         _Spring,0-25
TBM2002040906,4,2002,20,Spring,HB,2004,NA,1,Mud,None,Non,24.2,HB_Spring,HB_2004,HB_2004         _Spring,0-25
TBM2002041002,4,2002,20,Spring,MTB,2004,NA,6,San,None,Non,23.7,MTB_Spring,MTB_2004,MTB_2004        _Spring,0-25
TBM2002041102,4,2002,20,Spring,MTB,2004,NA,18,MudSan,None,Non,23,MTB_Spring,MTB_2004,MTB_2004        _Spring,0-25
TBM2002041201,4,2002,20,Spring,OTB,2004,9116,26,San,Halodule spp.,SAV,24,OTB_Spring,OTB_2004,OTB_2004        _Spring,0-25
TBM2002041203,4,2002,20,Spring,OTB,2004,9113,25,San,Halodule spp.,SAV,24.3,OTB_Spring,OTB_2004,OTB_2004        _Spring,0-25
TBM2002041204,4,2002,20,Spring,OTB,2004,NA,25,San,None,Non,24.8,OTB_Spring,OTB_2004,OTB_2004        _Spring,0-25
TBM2002041205,4,2002,20,Spring,OTB,2004,9113,19,San,Halodule spp.,SAV,24.7,OTB_Spring,OTB_2004,OTB_2004        _Spring,76-100
TBM2002041206,4,2002,20,Spring,OTB,2004,9113,27,San,Halodule spp.,SAVAlg,25,OTB_Spring,OTB_2004,OTB_2004        _Spring,76-100
TBM2002050306,5,2002,20,Spring,MTB,2004,9113,7,Mud,None,Non,28.85,MTB_Spring,MTB_2004,MTB_2004        _Spring,0-25
TBM2002050401,5,2002,20,Spring,MTB,2004,9113,27,San,Thalassia spp.,SAV,28.05,MTB_Spring,MTB_2004,MTB_2004        _Spring,26-50
TBM2002050407,5,2002,20,Spring,OTB,2004,NA,21,MudSan,Algae,SAVAlg,28.7,OTB_Spring,OTB_2004,OTB_2004        _Spring,51-75
TBM2002050408,5,2002,20,Spring,OTB,2004,NA,25,San,Halodule spp.,SAV,29.9,OTB_Spring,OTB_2004,OTB_2004        _Spring,0-25
TBM2002050502,5,2002,20,Spring,LTB,2004,NA,10,San,None,Non,27.9,LTB_Spring,LTB_2004,LTB_2004        _Spring,0-25
TBM2002050504,5,2002,20,Spring,LTB,2004,9113,8,San,Syringodium spp.,SAV,28.4,LTB_Spring,LTB_2004,LTB_2004        _Spring,76-100
TBM2002050602,5,2002,20,Spring,HB,2004,9116,29,San,Halodule spp.,SAV,29.25,HB_Spring,HB_2004,HB_2004         _Spring,76-100
TBM2002050801,5,2002,20,Spring,HB,2004,NA,29,San,None,Non,29.1,HB_Spring,HB_2004,HB_2004         _Spring,0-25
TBM2002050806,5,2002,20,Spring,HB,2004,9116,4,San,Halodule spp.,SAV,30.3,HB_Spring,HB_2004,HB_2004         _Spring,76-100
TBM2002050807,5,2002,20,Spring,HB,2004,NA,2,SanStr,None,Non,22.85,HB_Spring,HB_2004,HB_2004         _Spring,0-25
TBM2002051001,5,2002,20,Spring,OTB,2004,NA,21,San,Syringodium spp.,SAV,26.8,OTB_Spring,OTB_2004,OTB_2004        _Spring,26-50
TBM2002051004,5,2002,20,Spring,OTB,2004,NA,23,MudSan,None,Non,27,OTB_Spring,OTB_2004,OTB_2004        _Spring,0-25
TBM2002051101,5,2002,20,Spring,OTB,2004,9116,19,San,Syringodium spp.,SAV,26.8,OTB_Spring,OTB_2004,OTB_2004        _Spring,76-100
TBM2002051105,5,2002,20,Spring,MTB,2004,NA,18,San,None,Non,28.75,MTB_Spring,MTB_2004,MTB_2004        _Spring,0-25
TBM2002051107,5,2002,20,Spring,MTB,2004,NA,18,San,None,Non,29.2,MTB_Spring,MTB_2004,MTB_2004        _Spring,0-25
TBM2002060502,6,2002,20,Summer,MTB,2004,NA,18,San,None,Non,28.5,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002060503,6,2002,20,Summer,MTB,2004,9113,18,San,Halodule spp.,SAV,28,MTB_Summer,MTB_2004,MTB_2004        _Summer,76-100
TBM2002060801,6,2002,20,Summer,MTB,2004,NA,19,MudSan,None,Non,28.2,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002060802,6,2002,20,Summer,OTB,2004,9116,20,MudSan,Halodule spp.,SAV,26.3,OTB_Summer,OTB_2004,OTB_2004        _Summer,76-100
TBM2002060901,6,2002,20,Summer,OTB,2004,9113,23,MudSan,Halodule spp.,SAV,26.85,OTB_Summer,OTB_2004,OTB_2004        _Summer,76-100
TBM2002060904,6,2002,20,Summer,OTB,2004,9113,25,San,None,Non,28.7,OTB_Summer,OTB_2004,OTB_2004        _Summer,0-25
TBM2002060905,6,2002,20,Summer,OTB,2004,NA,25,San,Thalassia spp.,SAV,28.85,OTB_Summer,OTB_2004,OTB_2004        _Summer,0-25
TBM2002060907,6,2002,20,Summer,OTB,2004,NA,24,San,Halodule spp.,SAV,29.2,OTB_Summer,OTB_2004,OTB_2004        _Summer,26-50
TBM2002061001,6,2002,20,Summer,LTB,2004,9113,8,SanStr,None,Non,28.1,LTB_Summer,LTB_2004,LTB_2004        _Summer,0-25
TBM2002061002,6,2002,20,Summer,LTB,2004,NA,7,MudSan,Halodule spp.,SAV,27.8,LTB_Summer,LTB_2004,LTB_2004        _Summer,76-100
TBM2002061004,6,2002,20,Summer,MTB,2004,NA,6,San,None,Non,28.63333333,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002061006,6,2002,20,Summer,MTB,2004,9113,6,San,None,Non,28.6,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002061007,6,2002,20,Summer,MTB,2004,NA,6,San,None,Non,29.7,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002061201,6,2002,20,Summer,LTB,2004,NA,12,San,Syringodium spp.,SAVAlg,29.45,LTB_Summer,LTB_2004,LTB_2004        _Summer,76-100
TBM2002061303,6,2002,20,Summer,HB,2004,9113,3,San,Halodule spp.,SAV,25.9,HB_Summer,HB_2004,HB_2004         _Summer,26-50
TBM2002061306,6,2002,20,Summer,HB,2004,NA,1,Mud,None,Non,28.7,HB_Summer,HB_2004,HB_2004         _Summer,0-25
TBM2002070101,7,2002,20,Summer,HB,2004,NA,2,San,None,Non,27.3,HB_Summer,HB_2004,HB_2004         _Summer,Unk
TBM2002070102,7,2002,20,Summer,HB,2004,NA,1,MudSan,None,Non,28.35,HB_Summer,HB_2004,HB_2004         _Summer,0-25
TBM2002070105,7,2002,20,Summer,HB,2004,NA,3,San,Halodule spp.,SAV,28.9,HB_Summer,HB_2004,HB_2004         _Summer,76-100
TBM2002070108,7,2002,20,Summer,MTB,2004,9113,27,MudSan,None,Non,30.4,MTB_Summer,MTB_2004,MTB_2004        _Summer,Unk
TBM2002070402,7,2002,20,Summer,OTB,2004,NA,23,Mud,None,Non,30.4,OTB_Summer,OTB_2004,OTB_2004        _Summer,0-25
TBM2002070404,7,2002,20,Summer,OTB,2004,NA,23,Mud,Halodule spp.,SAV,30.1,OTB_Summer,OTB_2004,OTB_2004        _Summer,26-50
TBM2002070406,7,2002,20,Summer,OTB,2004,NA,22,San,Halodule spp.,SAV,30.1,OTB_Summer,OTB_2004,OTB_2004        _Summer,26-50
TBM2002071001,7,2002,20,Summer,LTB,2004,9113,8,San,Halodule spp.,SAV,27.6,LTB_Summer,LTB_2004,LTB_2004        _Summer,76-100
TBM2002071002,7,2002,20,Summer,LTB,2004,NA,8,San,None,Non,30.4,LTB_Summer,LTB_2004,LTB_2004        _Summer,0-25
TBM2002071005,7,2002,20,Summer,MTB,2004,9113,7,MudSan,None,Non,28.8,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002071205,7,2002,20,Summer,MTB,2004,9116,17,San,Halodule spp.,SAV,30.5,MTB_Summer,MTB_2004,MTB_2004        _Summer,51-75
TBM2002071301,7,2002,20,Summer,MTB,2004,9113,18,San,None,Non,30.3,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002071302,7,2002,20,Summer,MTB,2004,9113,19,MudSan,Halodule spp.,SAV,31.3,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002071304,7,2002,20,Summer,OTB,2004,NA,27,San,Halodule spp.,SAV,30.9,OTB_Summer,OTB_2004,OTB_2004        _Summer,76-100
TBM2002071306,7,2002,20,Summer,OTB,2004,NA,21,San,None,Non,27.6,OTB_Summer,OTB_2004,OTB_2004        _Summer,0-25
TBM2002080106,8,2002,20,Summer,MTB,2004,NA,6,San,None,Non,31.56666666,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002080401,8,2002,20,Summer,OTB,2004,9113,22,San,None,Non,30.1,OTB_Summer,OTB_2004,OTB_2004        _Summer,0-25
TBM2002080403,8,2002,20,Summer,OTB,2004,NA,23,MudSan,Halodule spp.,SAV,30.2,OTB_Summer,OTB_2004,OTB_2004        _Summer,0-25
TBM2002080404,8,2002,20,Summer,OTB,2004,NA,23,MudSan,Halodule spp.,SAV,30.05,OTB_Summer,OTB_2004,OTB_2004        _Summer,76-100
TBM2002080602,8,2002,20,Summer,LTB,2004,9116,8,MudSan,Thalassia spp.,SAV,30.3,LTB_Summer,LTB_2004,LTB_2004        _Summer,76-100
TBM2002080701,8,2002,20,Summer,MTB,2004,NA,6,San,None,Non,30.15,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002080902,8,2002,20,Summer,OTB,2004,NA,22,San,None,Non,27.8,OTB_Summer,OTB_2004,OTB_2004        _Summer,0-25
TBM2002081002,8,2002,20,Summer,MTB,2004,9113,19,San,None,Non,27.6,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002081005,8,2002,20,Summer,MTB,2004,9113,17,San,Halodule spp.,SAV,29,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002081006,8,2002,20,Summer,LTB,2004,9113,16,San,SAV,SAV,29.1,LTB_Summer,LTB_2004,LTB_2004        _Summer,76-100
TBM2002081104,8,2002,20,Summer,MTB,2004,9113,27,San,None,Non,28.35,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002081105,8,2002,20,Summer,MTB,2004,9113,27,San,Halodule spp.,SAV,28.55,MTB_Summer,MTB_2004,MTB_2004        _Summer,26-50
TBM2002081106,8,2002,20,Summer,HB,2004,NA,2,MudSan,None,Non,28,HB_Summer,HB_2004,HB_2004         _Summer,0-25
TBM2002081201,8,2002,20,Summer,LTB,2004,NA,8,MudSan,None,Non,30.1,LTB_Summer,LTB_2004,LTB_2004        _Summer,0-25
TBM2002081202,8,2002,20,Summer,LTB,2004,9116,8,MudSan,SAV,SAV,28.75,LTB_Summer,LTB_2004,LTB_2004        _Summer,76-100
TBM2002081302,8,2002,20,Summer,MTB,2004,NA,19,San,Halodule spp.,SAV,29.3,MTB_Summer,MTB_2004,MTB_2004        _Summer,26-50
TBM2002090203,9,2002,20,Summer,OTB,2004,NA,23,MudSan,None,Non,29.45,OTB_Summer,OTB_2004,OTB_2004        _Summer,0-25
TBM2002090205,9,2002,20,Summer,OTB,2004,9113,23,San,None,Non,30.33333333,OTB_Summer,OTB_2004,OTB_2004        _Summer,0-25
TBM2002090207,9,2002,20,Summer,OTB,2004,9116,24,MudSan,Halodule spp.,SAV,31.2,OTB_Summer,OTB_2004,OTB_2004        _Summer,26-50
TBM2002090402,9,2002,20,Summer,OTB,2004,9116,20,San,Thalassia spp.,SAV,30.3,OTB_Summer,OTB_2004,OTB_2004        _Summer,76-100
TBM2002090501,9,2002,20,Summer,LTB,2004,9116,12,San,Thalassia spp.,SAV,30.73333333,LTB_Summer,LTB_2004,LTB_2004        _Summer,76-100
TBM2002090803,9,2002,20,Summer,MTB,2004,9116,17,MudSan,Halodule spp.,SAV,28.5,MTB_Summer,MTB_2004,MTB_2004        _Summer,76-100
TBM2002090903,9,2002,20,Summer,MTB,2004,9113,7,MudSan,Syringodium spp.,SAV,26.1,MTB_Summer,MTB_2004,MTB_2004        _Summer,76-100
TBM2002090905,9,2002,20,Summer,MTB,2004,NA,7,Mud,None,Non,26.8,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002090906,9,2002,20,Summer,MTB,2004,9113,7,Mud,None,Non,26.6,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002091004,9,2002,20,Summer,HB,2004,NA,6,SanStr,None,Non,29.93333333,HB_Summer,HB_2004,HB_2004         _Summer,0-25
TBM2002091102,9,2002,20,Summer,HB,2004,NA,29,San,None,Non,29.5,HB_Summer,HB_2004,HB_2004         _Summer,0-25
TBM2002091104,9,2002,20,Summer,HB,2004,NA,5,San,None,Non,29.53333333,HB_Summer,HB_2004,HB_2004         _Summer,0-25
TBM2002091106,9,2002,20,Summer,MTB,2004,9116,27,MudSan,Halodule spp.,SAV,30.25,MTB_Summer,MTB_2004,MTB_2004        _Summer,76-100
TBM2002091107,9,2002,20,Summer,MTB,2004,9113,27,San,Halodule spp.,SAV,31.15,MTB_Summer,MTB_2004,MTB_2004        _Summer,51-75
TBM2002091302,9,2002,20,Summer,MTB,2004,9116,18,San,None,Non,28.65,MTB_Summer,MTB_2004,MTB_2004        _Summer,0-25
TBM2002100105,10,2002,20,Fall,OTB,2004,NA,23,San,None,Non,29.4,OTB_Fall,OTB_2004,OTB_2004        _Fall,0-25
TBM2002100106,10,2002,20,Fall,OTB,2004,NA,23,San,Halodule spp.,SAV,28.85,OTB_Fall,OTB_2004,OTB_2004        _Fall,26-50
TBM2002100201,10,2002,20,Fall,OTB,2004,9116,25,MudSan,Halodule spp.,SAV,28.6,OTB_Fall,OTB_2004,OTB_2004        _Fall,76-100
TBM2002100203,10,2002,20,Fall,OTB,2004,9113,26,MudSan,SAV,SAV,28.56666666,OTB_Fall,OTB_2004,OTB_2004        _Fall,51-75
TBM2002100205,10,2002,20,Fall,OTB,2004,9116,27,Mud,Halodule spp.,SAV,28.3,OTB_Fall,OTB_2004,OTB_2004        _Fall,26-50
TBM2002100504,10,2002,20,Fall,OTB,2004,NA,22,San,None,Non,28.1,OTB_Fall,OTB_2004,OTB_2004        _Fall,0-25
TBM2002100701,10,2002,20,Fall,HB,2004,NA,29,SanStr,None,Non,27.7,HB_Fall,HB_2004,HB_2004         _Fall,0-25
TBM2002101006,10,2002,20,Fall,HB,2004,NA,4,San,None,Non,29.05,HB_Fall,HB_2004,HB_2004         _Fall,Unk
TBM2002101007,10,2002,20,Fall,MTB,2004,9113,27,San,Caulerpa spp.,SAV,30,MTB_Fall,MTB_2004,MTB_2004        _Fall,51-75
TBM2002101104,10,2002,20,Fall,MTB,2004,NA,6,San,Halodule spp.,SAV,25.5,MTB_Fall,MTB_2004,MTB_2004        _Fall,0-25
TBM2002101105,10,2002,20,Fall,MTB,2004,NA,7,MudSan,Halodule spp.,SAV,25.6,MTB_Fall,MTB_2004,MTB_2004        _Fall,76-100
TBM2002101203,10,2002,20,Fall,MTB,2004,NA,18,San,None,Non,29.6,MTB_Fall,MTB_2004,MTB_2004        _Fall,0-25
TBM2002101401,10,2002,20,Fall,MTB,2004,9116,7,San,Syringodium spp.,SAV,28.2,MTB_Fall,MTB_2004,MTB_2004        _Fall,51-75
TBM2002101403,10,2002,20,Fall,LTB,2004,NA,8,San,Thalassia spp.,SAV,28.25,LTB_Fall,LTB_2004,LTB_2004        _Fall,76-100
TBM2002101404,10,2002,20,Fall,LTB,2004,9113,8,San,None,Non,28.8,LTB_Fall,LTB_2004,LTB_2004        _Fall,0-25
TBM2002101605,10,2002,20,Fall,MTB,2004,9113,17,San,None,Non,26.3,MTB_Fall,MTB_2004,MTB_2004        _Fall,0-25
TBM2002110204,11,2002,20,Fall,MTB,2004,NA,6,San,Halodule spp.,SAV,27.2,MTB_Fall,MTB_2004,MTB_2004        _Fall,26-50
TBM2002110401,11,2002,20,Fall,LTB,2004,9116,12,San,Syringodium spp.,SAV,23.9,LTB_Fall,LTB_2004,LTB_2004        _Fall,76-100
TBM2002110502,11,2002,20,Fall,HB,2004,9113,4,San,Halodule spp.,SAV,24.05,HB_Fall,HB_2004,HB_2004         _Fall,51-75
TBM2002110503,11,2002,20,Fall,MTB,2004,NA,27,San,None,Non,24.4,MTB_Fall,MTB_2004,MTB_2004        _Fall,0-25
TBM2002110507,11,2002,20,Fall,HB,2004,NA,29,San,None,Non,25.23333333,HB_Fall,HB_2004,HB_2004         _Fall,0-25
TBM2002110601,11,2002,20,Fall,OTB,2004,9113,19,San,None,Non,25.8,OTB_Fall,OTB_2004,OTB_2004        _Fall,0-25
TBM2002110607,11,2002,20,Fall,MTB,2004,9113,27,Mud,Halodule spp.,SAV,26.1,MTB_Fall,MTB_2004,MTB_2004        _Fall,76-100
TBM2002110608,11,2002,20,Fall,OTB,2004,9113,19,San,Syringodium spp.,SAV,25.3,OTB_Fall,OTB_2004,OTB_2004        _Fall,76-100
TBM2002110902,11,2002,20,Fall,MTB,2004,9113,7,San,None,Non,25.6,MTB_Fall,MTB_2004,MTB_2004        _Fall,0-25
TBM2002110903,11,2002,20,Fall,MTB,2004,9113,7,San,Syringodium spp.,SAV,25.8,MTB_Fall,MTB_2004,MTB_2004        _Fall,51-75
TBM2002111304,11,2002,20,Fall,MTB,2004,9116,18,San,Syringodium spp.,SAV,22.1,MTB_Fall,MTB_2004,MTB_2004        _Fall,0-25
TBM2002111401,11,2002,20,Fall,OTB,2004,NA,24,San,None,Non,23.9,OTB_Fall,OTB_2004,OTB_2004        _Fall,0-25
TBM2002111402,11,2002,20,Fall,OTB,2004,NA,23,Mud,None,Non,24.1,OTB_Fall,OTB_2004,OTB_2004        _Fall,0-25
TBM2002111409,11,2002,20,Fall,OTB,2004,NA,23,San,None,Non,23.6,OTB_Fall,OTB_2004,OTB_2004        _Fall,0-25
TBM2002111604,11,2002,20,Fall,OTB,2004,9113,25,San,Halodule spp.,SAV,19.9,OTB_Fall,OTB_2004,OTB_2004        _Fall,76-100
TBM2002120106,12,2002,20,Winter,LTB,2004,9116,12,San,Syringodium spp.,SAV,16.7,LTB_Winter,LTB_2004,LTB_2004        _Winter,76-100
TBM2002120210,12,2002,20,Winter,OTB,2004,9113,21,MudSan,Halodule spp.,SAV,16.5,OTB_Winter,OTB_2004,OTB_2004        _Winter,76-100
TBM2002120407,12,2002,20,Winter,LTB,2004,9116,8,San,Thalassia spp.,SAV,17.1,LTB_Winter,LTB_2004,LTB_2004        _Winter,76-100
TBM2002120503,12,2002,20,Winter,MTB,2004,9116,17,San,Syringodium spp.,SAV,15.6,MTB_Winter,MTB_2004,MTB_2004        _Winter,76-100
TBM2002120802,12,2002,20,Winter,OTB,2004,NA,25,San,None,Non,16.5,OTB_Winter,OTB_2004,OTB_2004        _Winter,0-25
TBM2002120803,12,2002,20,Winter,OTB,2004,9113,25,SanStr,Syringodium spp.,SAV,17.1,OTB_Winter,OTB_2004,OTB_2004        _Winter,76-100
TBM2002120807,12,2002,20,Winter,OTB,2004,NA,23,San,None,Non,19,OTB_Winter,OTB_2004,OTB_2004        _Winter,0-25
TBM2002120906,12,2002,20,Winter,OTB,2004,NA,20,San,Syringodium spp.,SAV,20.7,OTB_Winter,OTB_2004,OTB_2004        _Winter,0-25
TBM2002121005,12,2002,20,Winter,HB,2004,NA,2,San,None,Non,17.9,HB_Winter,HB_2004,HB_2004         _Winter,0-25
TBM2002121006,12,2002,20,Winter,HB,2004,NA,4,San,Halodule spp.,SAV,17.2,HB_Winter,HB_2004,HB_2004         _Winter,0-25
TBM2002121107,12,2002,20,Winter,HB,2004,NA,6,San,None,Non,19,HB_Winter,HB_2004,HB_2004         _Winter,0-25
TBM2002121201,12,2002,20,Winter,MTB,2004,NA,6,San,None,Non,15.2,MTB_Winter,MTB_2004,MTB_2004        _Winter,0-25
TBM2002121205,12,2002,20,Winter,HB,2004,NA,5,Mud,None,Non,17.75,HB_Winter,HB_2004,HB_2004         _Winter,0-25
